artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userAgent,userId
Morris Day,Logged In,Layla,F,101,Griffin,442.46159,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,The Oak Tree (Album Version),200,1.54345E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
Foo Fighters,Logged In,Layla,F,102,Griffin,302.91546,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,What If I Do?,200,1.54345E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
Olive,Logged In,Layla,F,103,Griffin,264.12363,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,You're Not Alone,200,1.54345E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
Olle Adolphson,Logged In,Layla,F,104,Griffin,202.39628,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,En Glad Calypso Om VÃÂ¥ren (Live '62),200,1.54345E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
Streetlight Manifesto,Logged In,Ava,F,0,Robinson,303.33342,free,"New Haven-Milford, CT",PUT,NextSong,1.54093E+12,1011,Down_ Down_ Down To Mehphisto's Cafe (Album Version),200,1.54345E+12,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",50
Frank Reyes,Logged In,Layla,F,105,Griffin,239.67302,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Tu Eres Ajena,200,1.54345E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
Andres Calamaro,Logged In,Layla,F,106,Griffin,217.5473,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Estadio Azteca,200,1.54345E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
Zero 7,Logged In,Layla,F,107,Griffin,279.562,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Sleeper,200,1.54345E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
Mark Ronson featuring Tiggers,Logged In,Layla,F,108,Griffin,245.18485,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Toxic,200,1.54345E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
Keith Sweat,Logged In,Layla,F,109,Griffin,295.78404,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Merry Go Round (Remastered Single Version),200,1.54345E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
Wakey!Wakey!,Logged In,Layla,F,110,Griffin,145.03138,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Square Peg Round Hole,200,1.54346E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
The Mercury Program,Logged In,Layla,F,111,Griffin,292.362,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Eqypt,200,1.54346E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
Kid Cudi / Kanye West / Common,Logged In,Layla,F,112,Griffin,237.76608,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Make Her Say,200,1.54346E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
Nekromantix,Logged In,Layla,F,113,Griffin,263.10485,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Nice Day For A Resurrection,200,1.54346E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
,Logged In,Layla,F,114,Griffin,,paid,"Lake Havasu City-Kingman, AZ",GET,Home,1.54106E+12,984,,200,1.54346E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
J. Karjalainen & Mustat Lasit,Logged In,Layla,F,115,Griffin,336.74404,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Sinisten tÃÂ¤htien alla,200,1.54346E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
Matt Wertz,Logged In,Layla,F,116,Griffin,171.17995,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Wade Through The Night,200,1.54346E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
Insane Clown Posse,Logged In,Layla,F,117,Griffin,233.82159,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,My Axe,200,1.54346E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
Thin Lizzy,Logged In,Kaleb,M,0,Cook,214.59546,free,"Yuba City, CA",PUT,NextSong,1.54068E+12,951,It's Only Money,200,1.54346E+12,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,54
Crystal Castles,Logged In,Kaleb,M,1,Cook,186.38322,free,"Yuba City, CA",PUT,NextSong,1.54068E+12,951,Untrust us,200,1.54346E+12,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,54
The Prodigy,Logged In,Kaleb,M,2,Cook,302.602,free,"Yuba City, CA",PUT,NextSong,1.54068E+12,951,Full Throttle,200,1.54346E+12,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,54
Kid Cudi / Kanye West / Common,Logged In,Kaleb,M,3,Cook,237.76608,free,"Yuba City, CA",PUT,NextSong,1.54068E+12,951,Make Her Say,200,1.54346E+12,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,54
Kim Carnes,Logged In,Kaleb,M,4,Cook,217.28608,free,"Yuba City, CA",PUT,NextSong,1.54068E+12,951,Crazy In The Night (Barking At Airplanes),200,1.54346E+12,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,54
The Velvet Underground,Logged In,Lily,F,0,Burns,165.95546,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1.54062E+12,1045,White Light/White Heat,200,1.54346E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",32
Katie Melua,Logged In,Lily,F,1,Burns,218.09587,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1.54062E+12,1045,I Cried For You,200,1.54346E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",32
Cedell Davis,Logged In,Alivia,F,0,Terrell,178.36363,free,"Parkersburg-Vienna, WV",PUT,NextSong,1.54051E+12,587,Chicken Hawk,200,1.54346E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",4
,Logged In,Theodore,M,0,Smith,,free,"Houston-The Woodlands-Sugar Land, TX",GET,Home,1.54031E+12,990,,200,1.54347E+12,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,52
Frou Frou,Logged In,Theodore,M,1,Smith,277.34159,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1.54031E+12,990,Breathe In,200,1.54347E+12,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,52
Justin Timberlake,Logged In,Theodore,M,2,Smith,313.0771,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1.54031E+12,990,What Goes Around...Comes Around,200,1.54347E+12,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,52
Michael BublÃÂ©,Logged In,Theodore,M,0,Harris,253.88363,free,"Red Bluff, CA",PUT,NextSong,1.5411E+12,1038,Moondance (Album Version),200,1.54347E+12,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,14
Bill Withers,Logged In,Theodore,M,1,Harris,383.73832,free,"Red Bluff, CA",PUT,NextSong,1.5411E+12,1038,Make Love To Your Mind,200,1.54347E+12,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,14
Cut Copy,Logged In,Jordyn,F,0,Powell,267.54567,free,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PUT,NextSong,1.54083E+12,865,Feel The Love,200,1.54348E+12,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",98
School Of Seven Bells,Logged In,Jordyn,F,1,Powell,176.97914,free,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PUT,NextSong,1.54083E+12,865,s.Ada.Licht,200,1.54348E+12,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",98
,Logged In,Lily,F,0,Burns,,free,"New York-Newark-Jersey City, NY-NJ-PA",GET,Home,1.54062E+12,1053,,200,1.54348E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",32
Rick Ross / T-Pain,Logged In,Jayden,M,0,Fox,225.69751,free,"New Orleans-Metairie, LA",PUT,NextSong,1.54103E+12,1016,The Boss,200,1.54349E+12,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",101
Keri Hilson / Lil Wayne,Logged In,Jayden,M,1,Fox,247.77098,free,"New Orleans-Metairie, LA",PUT,NextSong,1.54103E+12,1016,Turnin Me On,200,1.54349E+12,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",101
Cute Is What We Aim For,Logged In,Chloe,F,0,Roth,222.22322,free,"Indianapolis-Carmel-Anderson, IN",PUT,NextSong,1.5407E+12,931,Risque (Album Version),200,1.54349E+12,Mozilla/5.0 (Windows NT 6.1; rv:31.0) Gecko/20100101 Firefox/31.0,78
Los AutÃÂ©nticos Decadentes,Logged In,Jayden,M,2,Fox,218.48771,free,"New Orleans-Metairie, LA",PUT,NextSong,1.54103E+12,1016,La Guitarra,200,1.54349E+12,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",101
June Carter Cash;Johnny Cash,Logged In,Jayden,M,3,Fox,180.21832,free,"New Orleans-Metairie, LA",PUT,NextSong,1.54103E+12,1016,If I Were A Carpenter,200,1.54349E+12,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",101
I Set My Friends On Fire,Logged In,Sylvie,F,0,Cruz,206.39302,free,"Washington-Arlington-Alexandria, DC-VA-MD-WV",PUT,NextSong,1.54027E+12,1005,But The NUNS Are Watching,200,1.54349E+12,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",10
King Cobb Steelie,Logged In,Theodore,M,0,Smith,373.7073,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1.54031E+12,1055,Starvo,200,1.5435E+12,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,52
,Logged In,Celeste,F,0,Williams,,free,"Klamath Falls, OR",GET,Home,1.54108E+12,947,,200,1.5435E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",53
,Logged In,Samuel,M,0,Gonzalez,,free,"Houston-The Woodlands-Sugar Land, TX",GET,Home,1.54049E+12,1001,,200,1.5435E+12,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",61
David Bowie,Logged In,Chloe,F,0,Cuevas,174.41914,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1.54094E+12,1041,Sorrow (1997 Digital Remaster),200,1.5435E+12,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
,Logged Out,,,0,,,paid,,GET,Home,,1040,,200,1.5435E+12,,
,Logged Out,,,1,,,paid,,GET,Help,,1040,,200,1.5435E+12,,
J Dilla,Logged In,Chloe,F,1,Cuevas,232.46322,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1.54094E+12,1041,Won't Do,200,1.5435E+12,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
Hot Hot Heat,Logged In,Chloe,F,2,Cuevas,295.02649,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1.54094E+12,1041,In Cairo,200,1.5435E+12,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
Norther,Logged In,Chloe,F,3,Cuevas,236.85179,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1.54094E+12,1041,We Rock,200,1.5435E+12,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
Postal Service,Logged In,Chloe,F,4,Cuevas,226.61179,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1.54094E+12,1041,Nothing Better (Album),200,1.5435E+12,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
311,Logged In,Chloe,F,5,Cuevas,264.56771,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1.54094E+12,1041,Something Out Of Nothing,200,1.5435E+12,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
Jonas Brothers,Logged In,Chloe,F,6,Cuevas,249.67791,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1.54094E+12,1041,When You Look Me In The Eyes,200,1.5435E+12,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
Platero Y Tu,Logged In,Chloe,F,7,Cuevas,368.29995,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1.54094E+12,1041,Cantalojas,200,1.5435E+12,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
Martina McBride,Logged In,Chloe,F,8,Cuevas,193.802,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1.54094E+12,1041,In My Daughter's Eyes,200,1.5435E+12,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
Ben Folds Five,Logged In,Chloe,F,9,Cuevas,292.23138,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1.54094E+12,1041,Smoke,200,1.5435E+12,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
Seine,Logged In,Chloe,F,10,Cuevas,173.66159,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1.54094E+12,1041,So far so long,200,1.5435E+12,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
Shinedown,Logged In,Chloe,F,11,Cuevas,258.97751,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1.54094E+12,1041,What A Shame (Album Version),200,1.5435E+12,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
Iva,Logged In,Chloe,F,12,Cuevas,205.322,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1.54094E+12,1041,Vanity Case (nouvelle version),200,1.5435E+12,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
Cathy Davey,Logged In,Chloe,F,13,Cuevas,273.52771,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1.54094E+12,1041,Hammerhead (Explicit),200,1.5435E+12,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
Jorge Reyes Valencia,Logged In,Chloe,F,14,Cuevas,127.81669,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1.54094E+12,1041,Hekura,200,1.5435E+12,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
Sonic Youth,Logged In,Chloe,F,15,Cuevas,299.10159,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1.54094E+12,1041,Candle,200,1.5435E+12,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
,Logged Out,,,0,,,paid,,PUT,Login,,983,,307,1.5435E+12,,
John Mayer,Logged In,Chloe,F,16,Cuevas,241.99791,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1.54094E+12,1041,Slow Dancing In A Burning Room,200,1.5435E+12,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
,Logged In,Rylan,M,1,George,,paid,"Birmingham-Hoover, AL",GET,Home,1.54102E+12,983,,200,1.5435E+12,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",16
Jason Mraz,Logged In,Rylan,M,2,George,235.49342,paid,"Birmingham-Hoover, AL",PUT,NextSong,1.54102E+12,983,Geek In The Pink (Album Version),200,1.5435E+12,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",16
Daft Punk,Logged In,Chloe,F,17,Cuevas,283.19302,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1.54094E+12,1041,Technologic,200,1.5435E+12,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
Flyleaf,Logged In,Rylan,M,3,George,184.89424,paid,"Birmingham-Hoover, AL",PUT,NextSong,1.54102E+12,983,Again,200,1.5435E+12,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",16
,Logged In,Ryan,M,0,Smith,,free,"San Jose-Sunnyvale-Santa Clara, CA",GET,Home,1.54102E+12,1046,,200,1.5435E+12,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""",26
Flight Of The Conchords,Logged In,Lily,F,0,Burns,206.8371,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1.54062E+12,1058,Carol Brown,200,1.5435E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",32
Tub Ring,Logged In,Chloe,F,18,Cuevas,233.69098,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1.54094E+12,1041,Invalid,200,1.5435E+12,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
Aesop Rock,Logged In,Ryan,M,1,Smith,266.16118,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1.54102E+12,1046,Daylight,200,1.5435E+12,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""",26
Two Door Cinema Club,Logged In,Rylan,M,4,George,168.09751,paid,"Birmingham-Hoover, AL",PUT,NextSong,1.54102E+12,983,Undercover Martyn,200,1.5435E+12,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",16
